Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Messiah Swinson (40857701),Messiah Swinson,40857701,TE/FLEX,2500,JAX@ARI 11/23/2025 04:05PM ET,ARI,0
TE,Elijah Higgins (40857783),Elijah Higgins,40857783,TE/FLEX,2500,JAX@ARI 11/23/2025 04:05PM ET,ARI,3.12
TE,Patrick Herbert (40857838),Patrick Herbert,40857838,TE/FLEX,2500,JAX@ARI 11/23/2025 04:05PM ET,JAX,0
TE,Tip Reiman (40858068),Tip Reiman,40858068,TE/FLEX,2500,JAX@ARI 11/23/2025 04:05PM ET,ARI,1.2
TE,Albert Okwuegbunam Jr. (40857391),Albert Okwuegbunam Jr.,40857391,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,LV,8.6
TE,Ian Thomas (40857425),Ian Thomas,40857425,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,LV,1.13
TE,Sal Cannella (40857470),Sal Cannella,40857470,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,CLE,0
TE,Blake Whiteheart (40857622),Blake Whiteheart,40857622,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,CLE,0.24
TE,Brenden Bates (40857634),Brenden Bates,40857634,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,CLE,1.08
TE,Caden Prieskorn (40857978),Caden Prieskorn,40857978,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,CLE,0
TE,Carter Runyon (40858294),Carter Runyon,40858294,TE/FLEX,2500,CLE@LV 11/23/2025 04:05PM ET,LV,0.22
TE,Kylen Granson (40857397),Kylen Granson,40857397,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,PHI,0.4
TE,Grant Calcaterra (40857457),Grant Calcaterra,40857457,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,PHI,1
TE,E.J. Jenkins (40857498),E.J. Jenkins,40857498,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,PHI,0
TE,Princeton Fant (40857525),Princeton Fant,40857525,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,DAL,0
TE,Cal Adomitis (40857540),Cal Adomitis,40857540,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,PHI,0
TE,Brevyn Spann-Ford (40857610),Brevyn Spann-Ford,40857610,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,DAL,0.58
TE,John Stephens Jr. (40857638),John Stephens Jr.,40857638,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,DAL,0
TE,Cameron Latu (40857714),Cameron Latu,40857714,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,PHI,0
TE,Luke Schoonmaker (40857742),Luke Schoonmaker,40857742,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,DAL,1.43
TE,Rivaldo Fairweather (40858037),Rivaldo Fairweather,40858037,TE/FLEX,2500,PHI@DAL 11/23/2025 04:25PM ET,DAL,0
DST,Saints  (40857106),Saints ,40857106,DST,2500,ATL@NO 11/23/2025 04:25PM ET,NO,5.6
TE,Zach Wood (40857161),Zach Wood,40857161,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0
TE,Foster Moreau (40857296),Foster Moreau,40857296,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0.92
TE,Feleipe Franks (40857363),Feleipe Franks,40857363,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,ATL,0.02
TE,Jack Stoll (40857375),Jack Stoll,40857375,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,1.31
TE,Charlie Woerner (40857401),Charlie Woerner,40857401,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,ATL,0.29
TE,Teagan Quitoriano (40857734),Teagan Quitoriano,40857734,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,ATL,0
TE,Joshua Simon (40857826),Joshua Simon,40857826,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,ATL,0
TE,Treyton Welch (40857864),Treyton Welch,40857864,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0
TE,Moliki Matavao (40858132),Moliki Matavao,40858132,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0
TE,Zaire Mitchell-Paden (40858177),Zaire Mitchell-Paden,40858177,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0.53
TE,Mason Pline (40858292),Mason Pline,40858292,TE/FLEX,2500,ATL@NO 11/23/2025 04:25PM ET,NO,0
TE,Ko Kieft (40857371),Ko Kieft,40857371,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,TB,0
TE,Nick Muse (40857488),Nick Muse,40857488,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,LAR,0
TE,Colby Parkinson (40857531),Colby Parkinson,40857531,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,LAR,4.79
TE,Tanner Taula (40857538),Tanner Taula,40857538,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,TB,0
TE,Devin Culp (40857600),Devin Culp,40857600,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,TB,0
TE,Evan Deckers (40857655),Evan Deckers,40857655,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,TB,0
TE,Payne Durham (40857746),Payne Durham,40857746,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,TB,0
TE,Davis Allen (40857776),Davis Allen,40857776,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,LAR,4.14
TE,Mark Redman (40857957),Mark Redman,40857957,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,LAR,0
TE,Terrance Ferguson (40858134),Terrance Ferguson,40858134,TE/FLEX,2500,TB@LAR 11/23/2025 08:20PM ET,LAR,3.1
TE,Luke Farrell (40857435),Luke Farrell,40857435,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,SF,2.66
TE,Jake Tonges (40857576),Jake Tonges,40857576,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,SF,6.6
TE,James Mitchell (40857697),James Mitchell,40857697,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,CAR,1.93
TE,Brayden Willis (40857709),Brayden Willis,40857709,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,SF,0
TE,Tommy Tremble (40857752),Tommy Tremble,40857752,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,CAR,3.94
TE,Mitchell Evans (40858181),Mitchell Evans,40858181,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,CAR,3.16
TE,Bryce Pierre (40858255),Bryce Pierre,40858255,TE/FLEX,2500,CAR@SF 11/24/2025 08:15PM ET,CAR,0
DST,Colts  (40857100),Colts ,40857100,DST,2400,IND@KC 11/23/2025 01:00PM ET,IND,7.9
DST,Buccaneers  (40857114),Buccaneers ,40857114,DST,2400,TB@LAR 11/23/2025 08:20PM ET,TB,7.2
DST,Titans  (40857099),Titans ,40857099,DST,2300,SEA@TEN 11/23/2025 01:00PM ET,TEN,5.4
DST,Bengals  (40857094),Bengals ,40857094,DST,2200,NE@CIN 11/23/2025 01:00PM ET,CIN,2.3
DST,Giants  (40857107),Giants ,40857107,DST,2100,NYG@DET 11/23/2025 01:00PM ET,NYG,2.54
DST,Jets  (40857108),Jets ,40857108,DST,2000,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,4.1
